Symbol,Date,Close
AAPL,3/2/2015,129.09
AAPL,3/3/2015,129.36
AAPL,3/4/2015,128.54
AAPL,3/5/2015,126.41
AAPL,3/6/2015,126.6
AAPL,3/9/2015,127.14
AAPL,3/10/2015,124.51
AAPL,3/11/2015,122.24
AAPL,3/12/2015,124.45
AAPL,3/13/2015,123.59
AAPL,3/16/2015,124.95
AAPL,3/17/2015,127.04
AAPL,3/18/2015,128.47
AAPL,3/19/2015,127.5
AAPL,3/20/2015,125.9
AAPL,3/23/2015,127.21
AAPL,3/24/2015,126.69
AAPL,3/25/2015,123.38
AAPL,3/26/2015,124.24
AAPL,3/27/2015,123.25
AAPL,3/30/2015,126.37
AAPL,3/31/2015,124.43
AAPL,4/1/2015,124.25
AAPL,4/2/2015,125.32
AAPL,4/6/2015,127.35
AAPL,4/7/2015,126.01
AAPL,4/8/2015,125.6
AAPL,4/9/2015,126.56
AAPL,4/10/2015,127.1
AAPL,4/13/2015,126.85
AAPL,4/14/2015,126.3
AAPL,4/15/2015,126.78
AAPL,4/16/2015,126.17
AAPL,4/17/2015,124.75
AAPL,4/20/2015,127.6
AAPL,4/21/2015,126.91
AAPL,4/22/2015,128.62
AAPL,4/23/2015,129.67
AAPL,4/24/2015,130.28
AAPL,4/27/2015,132.65
AAPL,4/28/2015,130.56
AAPL,4/29/2015,128.64
AAPL,4/30/2015,125.15
AAPL,5/1/2015,128.95
AAPL,5/4/2015,128.7
AAPL,5/5/2015,125.8
AAPL,5/6/2015,125.01
AAPL,5/7/2015,125.26
AAPL,5/8/2015,127.62
AAPL,5/11/2015,126.32
AAPL,5/12/2015,125.87
AAPL,5/13/2015,126.01
AAPL,5/14/2015,128.95
AAPL,5/15/2015,128.77
AAPL,5/18/2015,130.19
AAPL,5/19/2015,130.07
AAPL,5/20/2015,130.06
AAPL,5/21/2015,131.39
AAPL,5/22/2015,132.54
AAPL,5/26/2015,129.62
AAPL,5/27/2015,132.04
AAPL,5/28/2015,131.78
AAPL,5/29/2015,130.28
AAPL,6/1/2015,130.54
AAPL,6/2/2015,129.96
AAPL,6/3/2015,130.12
AAPL,6/4/2015,129.36
AAPL,6/5/2015,128.65
AAPL,6/8/2015,127.8
AAPL,6/9/2015,127.42
AAPL,6/10/2015,128.88
AAPL,6/11/2015,128.59
AAPL,6/12/2015,127.17
AAPL,6/15/2015,126.92
AAPL,6/16/2015,127.6
AAPL,6/17/2015,127.3
AAPL,6/18/2015,127.88
AAPL,6/19/2015,126.6
AAPL,6/22/2015,127.61
AAPL,6/23/2015,127.03
AAPL,6/24/2015,128.11
AAPL,6/25/2015,127.5
AAPL,6/26/2015,126.75
AAPL,6/29/2015,124.53
AAPL,6/30/2015,125.43
AAPL,7/1/2015,126.6
AAPL,7/2/2015,126.44
AAPL,7/6/2015,126
AAPL,7/7/2015,125.69
AAPL,7/8/2015,122.57
AAPL,7/9/2015,120.07
AAPL,7/10/2015,123.28
AAPL,7/13/2015,125.66
AAPL,7/14/2015,125.61
AAPL,7/15/2015,126.82
AAPL,7/16/2015,128.51
AAPL,7/17/2015,129.62
AAPL,7/20/2015,132.07
AAPL,7/21/2015,130.75
AAPL,7/22/2015,125.22
AAPL,7/23/2015,125.16
AAPL,7/24/2015,124.5
AAPL,7/27/2015,122.77
AAPL,7/28/2015,123.38
AAPL,7/29/2015,122.99
AAPL,7/30/2015,122.37
AAPL,7/31/2015,121.3
AAPL,8/3/2015,118.44
AAPL,8/4/2015,114.64
AAPL,8/5/2015,115.4
AAPL,8/6/2015,115.13
AAPL,8/7/2015,115.52
AAPL,8/10/2015,119.72
AAPL,8/11/2015,113.49
AAPL,8/12/2015,115.24
AAPL,8/13/2015,115.15
AAPL,8/14/2015,115.96
AAPL,8/17/2015,117.16
AAPL,8/18/2015,116.5
AAPL,8/19/2015,115.01
AAPL,8/20/2015,112.65
AAPL,8/21/2015,105.76
AAPL,8/24/2015,103.12
AAPL,8/25/2015,103.74
AAPL,8/26/2015,109.69
AAPL,8/27/2015,112.92
AAPL,8/28/2015,113.29
AAPL,8/31/2015,112.76
AAPL,9/1/2015,107.72
AAPL,9/2/2015,112.34
AAPL,9/3/2015,110.37
AAPL,9/4/2015,109.27
AAPL,9/8/2015,112.31
AAPL,9/9/2015,110.15
AAPL,9/10/2015,112.57
AAPL,9/11/2015,114.21
AAPL,9/14/2015,115.31
AAPL,9/15/2015,116.28
AAPL,9/16/2015,116.41
AAPL,9/17/2015,113.92
AAPL,9/18/2015,113.45
AAPL,9/21/2015,115.21
AAPL,9/22/2015,113.4
AAPL,9/23/2015,114.32
AAPL,9/24/2015,115
AAPL,9/25/2015,114.71
AAPL,9/28/2015,112.44
AAPL,9/29/2015,109.06
AAPL,9/30/2015,110.3
AAPL,10/1/2015,109.58
AAPL,10/2/2015,110.38
AAPL,10/5/2015,110.78
AAPL,10/6/2015,111.31
AAPL,10/7/2015,110.78
AAPL,10/8/2015,109.5
AAPL,10/9/2015,112.12
AAPL,10/12/2015,111.6
AAPL,10/13/2015,111.79
AAPL,10/14/2015,110.21
AAPL,10/15/2015,111.86
AAPL,10/16/2015,111.04
AAPL,10/19/2015,111.73
AAPL,10/20/2015,113.77
AAPL,10/21/2015,113.76
AAPL,10/22/2015,115.5
AAPL,10/23/2015,119.08
AAPL,10/26/2015,115.28
AAPL,10/27/2015,114.55
AAPL,10/28/2015,119.27
AAPL,10/29/2015,120.53
AAPL,10/30/2015,119.5
AAPL,11/2/2015,121.18
AAPL,11/3/2015,122.57
AAPL,11/4/2015,122
AAPL,11/5/2015,120.92
AAPL,11/6/2015,121.06
AAPL,11/9/2015,120.57
AAPL,11/10/2015,116.77
AAPL,11/11/2015,116.11
AAPL,11/12/2015,115.72
AAPL,11/13/2015,112.34
AAPL,11/16/2015,114.18
AAPL,11/17/2015,113.69
AAPL,11/18/2015,117.29
AAPL,11/19/2015,118.78
AAPL,11/20/2015,119.3
AAPL,11/23/2015,117.75
AAPL,11/24/2015,118.88
AAPL,11/25/2015,118.03
AAPL,11/27/2015,117.81
AAPL,11/30/2015,118.3
AAPL,12/1/2015,117.34
AAPL,12/2/2015,116.28
AAPL,12/3/2015,115.2
AAPL,12/4/2015,119.03
AAPL,12/7/2015,118.28
AAPL,12/8/2015,118.23
AAPL,12/9/2015,115.62
AAPL,12/10/2015,116.17
AAPL,12/11/2015,113.18
AAPL,12/14/2015,112.48
AAPL,12/15/2015,110.49
AAPL,12/16/2015,111.34
AAPL,12/17/2015,108.98
AAPL,12/18/2015,106.03
