Symbol,Date,Close
JNJ,3/2/2015,103.22
JNJ,3/3/2015,102.34
JNJ,3/4/2015,101.65
JNJ,3/5/2015,102.52
JNJ,3/6/2015,100.11
JNJ,3/9/2015,100.66
JNJ,3/10/2015,99.53
JNJ,3/11/2015,98.32
JNJ,3/12/2015,99.83
JNJ,3/13/2015,99.21
JNJ,3/16/2015,101.06
JNJ,3/17/2015,99.89
JNJ,3/18/2015,101.46
JNJ,3/19/2015,101.69
JNJ,3/20/2015,102.4
JNJ,3/23/2015,102.98
JNJ,3/24/2015,101.96
JNJ,3/25/2015,100.34
JNJ,3/26/2015,100.14
JNJ,3/27/2015,100.34
JNJ,3/30/2015,101.55
JNJ,3/31/2015,100.6
JNJ,4/1/2015,99.15
JNJ,4/2/2015,99.64
JNJ,4/6/2015,99.16
JNJ,4/7/2015,100.1
JNJ,4/8/2015,100.16
JNJ,4/9/2015,101.33
JNJ,4/10/2015,102.06
JNJ,4/13/2015,100.55
JNJ,4/14/2015,100.52
JNJ,4/15/2015,100.6
JNJ,4/16/2015,99.79
JNJ,4/17/2015,99.58
JNJ,4/20/2015,100.21
JNJ,4/21/2015,100.3
JNJ,4/22/2015,100.43
JNJ,4/23/2015,100.46
JNJ,4/24/2015,101.08
JNJ,4/27/2015,100.58
JNJ,4/28/2015,100.74
JNJ,4/29/2015,100.39
JNJ,4/30/2015,99.2
JNJ,5/1/2015,100.13
JNJ,5/4/2015,100.35
JNJ,5/5/2015,99.5
JNJ,5/6/2015,99.17
JNJ,5/7/2015,99.66
JNJ,5/8/2015,101.47
JNJ,5/11/2015,101.03
JNJ,5/12/2015,100.47
JNJ,5/13/2015,100.55
JNJ,5/14/2015,101.83
JNJ,5/15/2015,102.3
JNJ,5/18/2015,103.42
JNJ,5/19/2015,103.96
JNJ,5/20/2015,103.6
JNJ,5/21/2015,102.42
JNJ,5/22/2015,101.35
JNJ,5/26/2015,100.82
JNJ,5/27/2015,101.13
JNJ,5/28/2015,101.15
JNJ,5/29/2015,100.14
JNJ,6/1/2015,100.04
JNJ,6/2/2015,99.98
JNJ,6/3/2015,100.09
JNJ,6/4/2015,99.23
JNJ,6/5/2015,98.59
JNJ,6/8/2015,97.96
JNJ,6/9/2015,98.21
JNJ,6/10/2015,98.88
JNJ,6/11/2015,99.24
JNJ,6/12/2015,98.35
JNJ,6/15/2015,97.49
